Plant_Name,State,County,PlantCapac,PlantFlow,BTU_Conten,DryGasStor,NG_LiquidS,City,ZipCode,OwnerCompa,OperatorCo,Source,x,y
Kermit,WV,Mingo,32,20.20000000000,1263,0,714,Kermit,25674,CHESAPEAKE APPALACHIA LLC,Penspen (Formerly dba Greystar Corp.),"EIA-757, Natural Gas Processing Plant Survey",-9167335,4560914
Fort Beeler,WV,Marshall,520,280.00000000000,1212,0,19285,Cameron,26033,"Williams Partners, LP","Williams Partners, LP","EIA-757, Natural Gas Processing Plant Survey",-8969834,4841420
MarkWest Majorsville Cryo Plant,WV,Marshall,870,634.70000000000,1251,0,0,Dallas,26036,MarkWest Liberty Midstream & Resource,MarkWest Liberty Midstream & Resource,"EIA-757, Natural Gas Processing Plant Survey",-8966193,4863741
Schultz NGL Facility,WV,Pleasants,10,4.00000000000,1318,0,3571,St. Marys,26170,Dominion,Exterran Energy Solutions,"EIA-757, Natural Gas Processing Plant Survey",-9036060,4773317
Lightburn Extraction Plant,WV,Lewis,44,35.00000000000,1178,0,5028,Jane Lew,26378,"Dominion Transmission, Inc.","Dominion Transmission, Inc.","EIA-757, Natural Gas Processing Plant Survey",-8955449,4737785
Hastings Extraction Plant,WV,Wetzel,180,165.00000000000,1230,0,38635,Pine Grove,26419,"Dominion Transmission, Inc","Dominion Transmission, Inc.","EIA-757, Natural Gas Processing Plant Survey",-8974264,4806747
Mobley Plant,WV,Wetzel,720,444.40000000000,1203,0,0,Smithfield,26437,MarkWest Liberty Midstream & Resources,MarkWest Liberty Midstream & Resources,"EIA-757, Natural Gas Processing Plant Survey",-8963237,4797370
Copley Gas Plant,WV,Lewis,35,28.00000000000,1180,0,2514,Weston,26452,"Dominion Transmission, Inc.","Dominion Transmission, Inc.","EIA-757, Natural Gas Processing Plant Survey",-8962779,4727000
Sherwood Plant,WV,Doddridge,1000,587.20000000000,1187,0,0,West Union,26456,"MarkWest Liberty Midstream & Resources, LLC","MarkWest Liberty Midstream & Resources, LLC","EIA-757, Natural Gas Processing Plant Survey",-8994824,4755780
West Union Gas Plant,WV,Doddridge,15,10.00000000000,1220,0,1885,West Union,26456,"Dominion Transmission, Inc.","Dominion Transmission, Inc.","EIA-757, Natural Gas Processing Plant Survey",-8992994,4762733
St. Regis Treatment Facility and Jay Gas Plant,FL,Santa Rosa,90,15.00000000000,380,0,16548,Jay,32565,"Breitburn Operating, LP",Quantum Resources Mgnt Co,"EIA-757, Natural Gas Processing Plant Survey",-9708395,3616352
Gordo BWB Compressor & Process Plant,AL,Pickens,5,4.00000000000,1120,0,714,Gordo,35466,Samson Resoures,Samson Resources,"EIA-757, Natural Gas Processing Plant Survey",-9786557,3929634
North Beach Plant,AL,Conecuha,8,5.83000000000,1320,0,2100,Evergreen,36401,Plains Gas Solutions,Plains Gas Solutions,"EIA-757, Natural Gas Processing Plant Survey",-9679085,3694296
Dogwood Oaks Plant,AL,Escambia,4,4.00000000000,1350,0,1000,Brewton,36426,Plains Gas Solutions,Plains Gas Solutions,"EIA-757, Natural Gas Processing Plant Survey",-9693033,3651010
Castleberry,AL,Conecuh,9,8.00000000000,1400,0,2857,Castleberry,36432,Gas Processors Inc,Gas Processors Inc,"EIA-757, Natural Gas Processing Plant Survey",-9687104,3665519
Lufkin Plant,AL,Monroe,7,1.00000000000,1400,0,1000,Frisco City,36445,Hilcorp Energy Company,Hilcorp Energy Company,"EIA-757, Natural Gas Processing Plant Survey",-9733641,3685763
Wildfork,AL,Monroe,5,0.00000000000,0,0,2150,Frisco City,36445,Gas Processors Inc,Gas Processors Inc,"EIA-757, Natural Gas Processing Plant Survey",-9734606,3690345
Monroeville Plant,AL,Monroe,0,0.05000000000,1200,0,2142,Monroeville,36460,Palmer Petroleum Inc,Palmer Petroleum Inc,"EIA-757, Natural Gas Processing Plant Survey",-9719024,3700592
Atmore,AL,Escambia,3,1.00000000000,1162,0,715,Atmore,36502,Gas Processors Inc,Gas Processors Inc,"EIA-757, Natural Gas Processing Plant Survey",-9736101,3644349
Big Escambia Creek,AL,Escambia,50,40.00000000000,900,5,34000,Atmore,36502,"Escambia Operating Company, LLC","Eagle Rock Energy G & P, LLC","EIA-757, Natural Gas Processing Plant Survey",-9741570,3648724
Chatom Plant,AL,Washington,25,10.00000000000,116,0,7650,Chatom,36518,"American Midstream Chatom, LLC","American Midstream Chatom, LLC","EIA-757, Natural Gas Processing Plant Survey",-9827727,3691918
Chunchula Gas Plant,AL,Mobile,70,20.00000000000,1126,0,15833,Chunchula,36521,Union Oil Company of California,Chevron Corp,"EIA-757, Natural Gas Processing Plant Survey",-9816804,3625632
Mobile Bay Processing,AL,Mobile,300,130.00000000000,1100,0,2400,Coden,36523,DCP Midstream,DCP Midstream,"EIA-757, Natural Gas Processing Plant Survey",-9812663,3551618
Williams Mobile Bay Processing Plant,AL,Mobile,700,307.57000000000,1128,17,17038,Coden,36523,"Williams Mobile Bay Producer Services, LLC","Williams Mobile Bay Producer Services, LLC","EIA-757, Natural Gas Processing Plant Survey",-9813709,3549107
Yellowhammer Gas Plant,AL,Mobile,200,70.00000000000,1110,0,21428,Coden,36523,W&T Offshore,W&T Offshore,"EIA-757, Natural Gas Processing Plant Survey",-9811965,3549595
Hatters Pond Gas Plant,AL,Mobile,70,11.00000000000,1239,0,13200,Creola,36525,Four Star Oil and Gas Company,Chevron Corp,"EIA-757, Natural Gas Processing Plant Survey",-9798128,3618474
Rogersville Cryogenic Plant,TN,Hawkins,25,14.00000000000,1225,0,2857,Rogersville,37857,"Continuum Midstream, LLC","Continuum Midstream, LLC","EIA-757, Natural Gas Processing Plant Survey",-9233096,4358578
Bazor Ridge,MS,Wayne,20,15.00000000000,1277,1201,2857,Waynesboro,39367,"American Midstream (Mississippi), LLC",American Midstream,"EIA-757, Natural Gas Processing Plant Survey",-9860030,3724765
Pascagoula Gas Processing Plant,MS,Jackson,1100,300.00000000000,1165,0,1000,Pascagoula,39567,BP America Production Company,BP America Production Company,"EIA-757, Natural Gas Processing Plant Survey",-9856970,3550363
Womack Hill Gas Plant,AL,Choctaw,2,1.00000000000,2039,0,3899,Gilbertown,36908,Pruet Production Co.,Pruet Production Co.,"EIA-757, Natural Gas Processing Plant Survey",-9831134,3744863
Corinne Dehy Refrigeration Station,MS,Monroe,3,1.00000000000,1140,0,428,Aberdeen,39730,Samson Resoures,Samson Resources,"EIA-757, Natural Gas Processing Plant Survey",-9858931,4007576
Muldon Gas Storage Field,MS,Monroe,750,86.00000000000,1017,92820,2040,Prairie,39756,"Southern Natural Gas Company, LLC","Southern Natural Gas Company, LLC","EIA-757, Natural Gas Processing Plant Survey",-9885180,4001632
Boldman,KY,Pike,70,37.00000000000,1259,0,0,Pikeville,41501,"MarkWest Energy Appalacia, LLC","MarkWest Energy Appalacia, LLC","EIA-757, Natural Gas Processing Plant Survey",-9185781,4511291
Langley Processing Plant,KY,Floyd,170,143.00000000000,1294,0,4897,Langley,41645,"MarkWest Energy Appalacia, LLC","MarkWest Energy Appalacia, LLC","EIA-757, Natural Gas Processing Plant Survey",-9219367,4515197
Seneca Plant,OH,Noble,600,286.40000000000,1205,0,0,Summerfield,43788,MarkWest Liberty Midstream & Resources,MarkWest Liberty Midstream & Resources,"EIA-757, Natural Gas Processing Plant Survey",-9053974,4837250
Churchtown Compressor Station,OH,Washington,0,0.12700000000,1092,0,40000,Marietta,45750,"Cobra Pipeline Company, LTD","Cobra Pipeline Company, LTD","EIA-757, Natural Gas Processing Plant Survey",-9063879,4783645
Hartland 36 Processing Plant,MI,Livingston,8,1.00000000000,1212,0,714,Hartland,48380,Merit Enerrgy Company,Merit Energy Company,"EIA-757, Natural Gas Processing Plant Survey",-9313224,5248378
Fraser 8,MI,Crawford,2,1.60000000000,1070,0,714,Pinconning,48650,"BreitBurn Operating, L.P.","BreitBurn Operating, L.P.","EIA-757, Natural Gas Processing Plant Survey",-9351534,5441968
Mentor Plant,MI,Oscoda,10,0.76000000000,1128,0,715,Rose City,48654,Merit Energy Company,Merit Energy Company,"EIA-757, Natural Gas Processing Plant Survey",-9365491,5536281
WEST BRANCH GAS PLANT,MI,OGEMAW,10,5.00000000000,1302,0,4714,WEST BRANCH,48661,WHITING OIL AND GAS CORPORATION,WHITING OIL AND GAS CORPORATION,"EIA-757, Natural Gas Processing Plant Survey",-9382682,5518402
Monitor 11,MI,Bay,0,0.09000000000,1080,0,1332,Bay City,48706,"BreitBurn Operating, L.P.","BreitBurn Operating, L.P.","EIA-757, Natural Gas Processing Plant Survey",-9345472,5403831
Reno Gas Plant,MI,Iosco,8,0.39000000000,1300,0,1429,Whittemore,48770,Whiting Oil and Gas Corporation,Whiting Oil and Gas Corporation,"EIA-757, Natural Gas Processing Plant Survey",-9330896,5504020
Rosebush Plant,MI,Isabella,0,0.13500000000,1410,0,0,Rosebush,48878,Summit Petroleum Corp,Summit Petroleum Corp,"EIA-757, Natural Gas Processing Plant Survey",-9437316,5421025
Kalkaska Gas Processing,MI,Kalkaska,75,38.00000000000,1087,0,42000,Kalkaska,49646,Merit Energy Company,Merit Energy Company,"EIA-757, Natural Gas Processing Plant Survey",-9468665,5578793
Goose Lake Gas Plant,MI,Osceola,2,0.40000000000,1149,0,607,Leroy,49655,Dart Oil & Gas Corporation,Dart Oil & Gas Corp,"EIA-757, Natural Gas Processing Plant Survey",-9507186,5470918
Sherman 35,MI,,2,2.00000000000,1060,0,714,Leroy,49655,"BreitBurn Operating, L.P.","BreitBurn Operating, L.P.","EIA-757, Natural Gas Processing Plant Survey",-9511527,5469471
Aztec Manistee,MI,Manistee,5,0.15000000000,1800,0,1429,Manistee,49660,"Aztec Producing Company, Inc.","Aztec Producing Company, Inc.","EIA-757, Natural Gas Processing Plant Survey",-9596974,5504675
Marion Gas Plant,MI,Osceola,3,1.00000000000,1156,0,607,Marion,49665,Dart Oil & Gas Corporation,Dart Oil & Gas Corp,"EIA-757, Natural Gas Processing Plant Survey",-9476291,5480444
Beaver Creek,MI,Crawford,2,1.70000000000,1740,0,714,Grayling,49735,"BreitBurn Operating, L.P.","BreitBurn Operating, L.P.","EIA-757, Natural Gas Processing Plant Survey",-9425533,5620780
Belfield Gas Plant,ND,Stark,50,19.04000000000,1550,0,16600,Belfield,58622,Whiting Oil and Gas Corp,Whiting Oil and Gas Corp,"EIA-757, Natural Gas Processing Plant Survey",-11496033,5925131
Little Knife Plant,ND,Billings,24,20.00000000000,1350,0,10000,Killdeer,58627,"Petro-Hunt, L.L.C.","Petro-Hunt, L.L.C.","EIA-757, Natural Gas Processing Plant Survey",-11499927,5980171
Marmarth Plant,ND,Slope,9,2.18000000000,1634,0,2857,Marmarth,58643,ONEOK Rockies Midstream,ONEOK Rockies Midstream,"EIA-757, Natural Gas Processing Plant Survey",-11571045,5833348
Badlands,ND,,20,20.00000000000,275,0,5115,Rhame,58651,Kinder Morgan,Kinder Morgan,"EIA-757, Natural Gas Processing Plant Survey",-11547762,5821390
Lignite Gas Plant,ND,Burke,10,3.50000000000,1245,0,10000,Lignite,58752,ONEOK Rockies Midstream,ONEOK Rockies Midstream,"EIA-757, Natural Gas Processing Plant Survey",-11415405,6247238
Norse,ND,Divide,25,16.60000000000,1450,0,6590,McGregor,58755,Kinder Morgan,Kinder Morgan,"EIA-757, Natural Gas Processing Plant Survey",-11459891,6211298
Robinson Lake Gas Plant,ND,Montrail,140,121.00000000000,1550,0,29050,New Town,58763,Whiting Oil and Gas Corporation,Whiting Oil and Gas Corporation,"EIA-757, Natural Gas Processing Plant Survey",-11418674,6105676
STATELINE I,ND,Williams,100,81.56000000000,1379,0,5700,Williston,58801,"ONEOK Rockies Midstream, a division of ONEOK Partners",ONEOK Rockies Midstream,"EIA-757, Natural Gas Processing Plant Survey",-11549797,6142281
Watford City,ND,McKenzie,85,30.00000000000,1450,0,36818,Alexander,58831,Kinder Morgan,Kinder Morgan,"EIA-757, Natural Gas Processing Plant Survey",-11538777,6072774
Red Wing Creek Gas Plant II,ND,McKenzie,12,4.00000000000,1445,0,9143,Arnegard,58835,True Oil LLC,"Delta Process Field Services, LLC","EIA-757, Natural Gas Processing Plant Survey",-11514990,6069440
Hess Tioga Gas Plant LLC,ND,Williams,250,109.00000000000,1300,0,78000,Tioga,58852,Hess Corporation,Hess Corporation,"EIA-757, Natural Gas Processing Plant Survey",-11460483,6159647
Nesson Plant,ND,Williams,25,18.00000000000,1476,0,5785,Tioga,58852,Nesson Gathering LLC,Nesson Gathering LLC,"EIA-757, Natural Gas Processing Plant Survey",-11462171,6165194
Garden Creek I,ND,McKenzie,110,100.00000000000,1336,0,6033,Watford City,58854,"ONEOK Rockies Midstream, a division of ONEOK Partners",ONEOK Rockies Midstream,"EIA-757, Natural Gas Processing Plant Survey",-11484270,6068228
LITTLE MISSOURI PLANT,ND,McKenzie,90,47.00000000000,1290,0,17142,Watford City,58854,"Targa Badlands, LLC","Targa Badlands, LLC","EIA-757, Natural Gas Processing Plant Survey",-11482100,6075463
Dry Creek Plant,MT,Carbon,4,1.08400000000,1190,0,1400,Bridger,59014,Saga Petroleum LLC,Saga Petroleum LLC,"EIA-757, Natural Gas Processing Plant Survey",-12110479,5660618
Bakken,MT,Richland,25,22.00000000000,1400,0,7386,Sidney,59270,Kinder Morgan,Kinder Morgan,"EIA-757, Natural Gas Processing Plant Survey",-11585361,6035409
McKenzie Plant (aka Grasslands Plant),MT,McKenzie,85,80.94000000000,1357,0,28454,Sidney,59270,"Oneok Rockies Midstream, a division of ONEOK Partners",ONEOK Rockies Midstream,"EIA-757, Natural Gas Processing Plant Survey",-11590908,6044091
Baker Plant,MT,Fallon,6,2.07000000000,1272,0,8272,Baker,59313,ONEOK Rockies Midstream,ONEOK Rockies Midstream,"EIA-757, Natural Gas Processing Plant Survey",-11605031,5829466
Cut Bank NGL Plant,MT,Glacier,25,5.00000000000,1090,0,4500,Cut Bank,59427,Omimex Canada LTD,Northwestern Energy,"EIA-757, Natural Gas Processing Plant Survey",-12509955,6231059
Aux Sable Liquid Products,IL,Grundy,2100,1682.00000000000,1127,0,200000,Morris,60450,"Aux Sable Liquid Products, LP","Aux Sable Liquid Products, LP","EIA-757, Natural Gas Processing Plant Survey",-9844302,5067001
Cheney Plant,KS,Sedgwick,100,44.49000000000,1132,0,0,Cheney,67025,ONEOK Field Services,ONEOK Field Services,"EIA-757, Natural Gas Processing Plant Survey",-10883382,4525266
KINGMAN GAS PLANT,KS,KINGMAN,26,21.00000000000,1130,0,380,CHENEY,67025,LUMEN MIDSTREAM PARTNERSHIP LLC,LUMEN MIDSTREAM PARTNERSHIP LLC,"EIA-757, Natural Gas Processing Plant Survey",-10885552,4528883
Spivey,KS,Harper,22,10.00000000000,1210,0,7620,Harper,67058,R&B Oil & Gas Inc.,"Pioneer Exploration, LLC","EIA-757, Natural Gas Processing Plant Survey",-10915613,4482940
Reno,KS,Reno,25,3.00000000000,1060,0,1000,Turon,67583,Superior Pipeline Company LLC,Superior Pipeline Company LLC,"EIA-757, Natural Gas Processing Plant Survey",-10962405,4551472
Satanta Gas Plant,KS,GRANT,220,107.00000000000,1040,0,2140,ULYSSES,67880,Linn Energy as of 01/1/15,Linn Energy,"EIA-757, Natural Gas Processing Plant Survey",-11272999,4516872
Jayhawk Gas Plant,KS,Grant,450,200.00000000000,1009,0,0,Ulysses,67880,Linn Energy,Linn Operating,"EIA-757, Natural Gas Processing Plant Survey",-11278305,4520972
National Helium Plant,KS,Seward,800,580.00000000000,1080,0,4000,Liberal,67901,Spectra Energy Corporation,DCP Midstream,"EIA-757, Natural Gas Processing Plant Survey",-11233009,4453314
Venice Gas Plant,LA,Plaquemines,750,520.00000000000,1100,0,0,Venice,70037,Targa Capital LLC,Targa Resources (Targa Capital),"EIA-757, Natural Gas Processing Plant Survey",-10018456,3461839
Toca Gas Plant,LA,St. Bernard,1100,150.00000000000,1096,0,0,St. Bernard,70085,"Enterprise Gas Processing, LLC","Enterprise Gas Processing, LLC","EIA-757, Natural Gas Processing Plant Survey",-9989764,3482493
Gibson Plant,LA,Terrabone Parish,110,84.00000000000,1082,0,0,Gibson,70356,"EnLink LIG Liquids, LLC","EnLink LIG Liquids, LLC","EIA-757, Natural Gas Processing Plant Survey",-10123743,3455170
North Terrebonne Plant,LA,Gibson,1100,447.00000000000,1100,0,2000,Gibson,70356,"Enterprise Gas Processing, LLC",Enterprise Gas Processing LLC,"EIA-757, Natural Gas Processing Plant Survey",-10125672,3457581
Larose Processing Plant,LA,,600,270.00000000000,1140,0,100,Larose,70373,Discovery Producer Services,Williams Field Services Group LLC,"EIA-757, Natural Gas Processing Plant Survey",-10056869,3451868
Patterson II Plant,LA,St Mary,150,86.30000000000,1118,0,0,Patterson,70392,Plains Marketing LP,Plains Gas Solutions,"EIA-757, Natural Gas Processing Plant Survey",-10165007,3465699
Pelican Plant,LA,St. Mary,600,368.00000000000,1089,0,0,Patterson,70392,"EnLink Pelican, LLC","EnLink Pelican, LLC","EIA-757, Natural Gas Processing Plant Survey",-10165538,3466583
Chipola Field Gas Plant,LA,Saint Helena,1,0.04000000000,1200,0,700,,70441,"Bridwell Oil Management, LLC","Bridwell Oil Management, LLC","EIA-757, Natural Gas Processing Plant Survey",-10102554,3614407
PSI Kaplan Plant,LA,Vermilion,300,0.00000000000,0,0,0,Abbeville,70510,"PSI Midstream Partners, LP","PSI Midstream Partners, LP","EIA-757, Natural Gas Processing Plant Survey",-10265444,3486799
Lake LaRose Gas Plant,LA,St. Martin Parish,5,2.00000000000,1111,0,150,Breaux Bridge,70517,Whiskey Bay Gas Co LTD,Energy Transfer Co,"EIA-757, Natural Gas Processing Plant Survey",-10222421,3541506
Neptune Gas Plant,LA,St. Mary Parish,650,536.00000000000,1153,0,350,Centerville,70538,"Enterprise Gas Processing, LLC",Enterprise Gas Processing LLC,"EIA-757, Natural Gas Processing Plant Survey",-10194794,3477753
Acadia Gas Plant,LA,Acadia,80,3.00000000000,1141,0,0,Egan,70531,Targa Midstream Services LLC,Targa Midstream Services LLC,"EIA-757, Natural Gas Processing Plant Survey",-10297977,3533500
Sea Robin Gas Processing Plant,LA,Vermilion,660,157.00000000000,1100,0,750,Erath,70533,"Enterprise Gas Processing, LLC","Enterprise Gas Processing, LLC","EIA-757, Natural Gas Processing Plant Survey",-10245814,3490343
Eunice Plant,LA,Acadia Parish,500,340.00000000000,1036,0,66577,Eunice,70535,"EnLink Processing Services, LLC","EnLink Processing Services, LLC","EIA-757, Natural Gas Processing Plant Survey",-10288860,3565169
Burns Point Plant,LA,St. Mary Parish,160,63.00000000000,1090,0,500,Franklin,70538,"Enterprise Gas Processing, LLC","Enterprise Gas Processing, LLC","EIA-757, Natural Gas Processing Plant Survey",-10199735,3478449
Lowry Gas Plant,LA,Cameron,220,135.00000000000,1065,0,0,Lake Arthur,70549,Targa Resources,Targa Resources,"EIA-757, Natural Gas Processing Plant Survey",-10330779,3512753
Big Lake Gas Plant,LA,Calcasieu,200,116.00000000000,1067,0,0,Lake Charles,70605,Targa Midstream Services LLC,Targa Midstream Services LLC,"EIA-757, Natural Gas Processing Plant Survey",-10383177,3520355
Gillis Gas Plant,LA,Calcasieu,180,166.00000000000,1113,0,11280,Lake Charles,70615,Targa Field Services LLC,Targa Field Services LLC,"EIA-757, Natural Gas Processing Plant Survey",-10366375,3536194
Barracuda Gas Plant,LA,Cameron,200,122.00000000000,1059,0,98,Cameron,70631,Targa Resources,Targa Resources,"EIA-757, Natural Gas Processing Plant Survey",-10426517,3490187
Cameron Meadows Gas Plant,LA,Cameron,125,70.00000000000,1080,0,0,Johnsons Bayou,70631,"PSI Midstream Partners, LP","PSI Midstream Partners, LP","EIA-757, Natural Gas Processing Plant Survey",-10430040,3485592
Stingray Gas Plant,LA,Cameron,300,0.00000000000,0,0,714,Cameron,70631,Targa Resources,Targa Resources,"EIA-757, Natural Gas Processing Plant Survey",-10432491,3490187
Grand Cheniere Plant,LA,,120,63.86000000000,1077,0,0,Grand Chenier,70643,Plains All American,Plains Gas Solutions,"EIA-757, Natural Gas Processing Plant Survey",-10323641,3476374
Neale,LA,Beauregard,5,3.00000000000,1154,0,1143,Merryville,70653,Texas Petroleum Investment Company,Texas Petroleum Investment Company,"EIA-757, Natural Gas Processing Plant Survey",-10415303,3589125
INDIAN VILLAGE PLANT,LA,ALLEN,3,2.00000000000,1,0,714,REAVES,70658,"JP OIL COMPANY, LLC","JP OIL COMPANY, LLC","EIA-757, Natural Gas Processing Plant Survey",-10358008,3571691
KROTZ SPRINGS GAS PLANT,LA,ST. LANDRY,5,1.00000000000,1,0,1143,KROTZ SPRINGS,70750,"JP OIL COMPANY, LLC","JP OIL COMPANY, LLC","EIA-757, Natural Gas Processing Plant Survey",-10218337,3569126
Plaquemine Plant,LA,Iberville Parish,225,151.00000000000,1029,0,11904,Plaquemine,70764,"EnLink LIG Liquids, LLC","EnLink LIG Liquids, LLC","EIA-757, Natural Gas Processing Plant Survey",-10162168,3532653
Samson Benton Plant,LA,Bossier,4,0.30000000000,1108,0,1000,Benton,71006,Samson Resoures,Samson Contour Energy,"EIA-757, Natural Gas Processing Plant Survey",-10423238,3859204
Cotton Valley Gas Plant,LA,Webster,90,65.00000000000,1190,0,18000,Cotton Valley,71018,XTO Energy Inc,XTO Energy Inc,"EIA-757, Natural Gas Processing Plant Survey",-10395612,3869708
Dubberly Plant,LA,Webster,380,135.00000000000,1120,0,4129,Dubberly,71024,Regency Field Services LLC,Regency Field Services LLC,"EIA-757, Natural Gas Processing Plant Survey",-10375487,3827474
Gravel Point,LA,DeSoto,45,44.00000000000,1075,0,2429,Frierson,71027,J-W Gathering Company,J-W Gathering Company,"EIA-757, Natural Gas Processing Plant Survey",-10427637,3795541
Ada Plant,LA,Bienville,45,45.00000000000,1080,0,714,Gibsland,71028,DCP Midstream,DCP Midstream,"EIA-757, Natural Gas Processing Plant Survey",-10361176,3827755
Elm Grove Plant,LA,Bossier,200,155.00000000000,1070,0,2700,Haughton,71037,Regency Field Services LLC,Regency Field Services LLC,"EIA-757, Natural Gas Processing Plant Survey",-10407213,3827955
Sligo Processing Facility,LA,Bossier,230,140.00000000000,1100,0,7857,Haughton,71037,"Enable Midstream Partners, LP","Enable Midstream Partners, LP","EIA-757, Natural Gas Processing Plant Survey",-10408901,3832055
Antioch Gas Processing Plant,LA,,6,3.00000000000,1258,0,1429,Lisbon,71048,"LNGP, LLC",Antioch Gas Processing Plant,"EIA-757, Natural Gas Processing Plant Survey",-10331422,3873237
Bossier Levee Board,LA,Bossier,17,0.00000000000,0,0,285,Elm Grove,71051,J-W Gathering Company,J-W Gathering Company,"EIA-757, Natural Gas Processing Plant Survey",-10403532,3810905
Egan JT,LA,Caddo,10,0.00000000000,0,0,285,Shreveport,71051,J-W Gathering Company,J-W Gathering Company,"EIA-757, Natural Gas Processing Plant Survey",-10404014,3804876
Elm Grove Plant,LA,Bossier,2,1.50000000000,1060,0,310,Elm Grove,71051,"Enable Midstream Partners, LP","Enable Midstream Partners, LP","EIA-757, Natural Gas Processing Plant Survey",-10407390,3808493
DESOTO GAS PLANT,LA,DESOTO,1007,775.00000000000,1040,0,714,,71052,,"VERNON E. FAULCONER, INC.","EIA-757, Natural Gas Processing Plant Survey",-10426748,3764549
Minden Beacon,LA,Webster,115,65.00000000000,1185,0,0,Minden,71055,DCP Assets Holding,DCP Midstream,"EIA-757, Natural Gas Processing Plant Survey",-10385897,3851916
Rocky Mount,LA,Bossier,2,1.00000000000,1126,0,429,N/A,71064,"Linn Operating, Inc","Linn Operating, Inc","EIA-757, Natural Gas Processing Plant Survey",-10429055,3883468
Rocky Mount Gas Plant,LA,Bossier,1,0.25000000000,1050,0,357,Plain Dealing,71064,Samson Resoures,Samson Contour Energy,"EIA-757, Natural Gas Processing Plant Survey",-10430502,3889256
Vivian Gas Processing Plant,LA,Caddo,2,0.10000000000,1025,0,285,Vivian,71082,Caruthers Producing Co Inc,Caruthers Producing Co Inc,"EIA-757, Natural Gas Processing Plant Survey",-10459171,3875468
Grayson Gas Plant,LA,Caddo,2,1.70000000000,1125,0,700,Shreveport,71101,Grayson LLC,"Petro-Chem Operating Co.,  Inc.","EIA-757, Natural Gas Processing Plant Survey",-10434783,3829574
